,Collect_DateTime,No,Code,Name,Rem,Last,Done,LACP,Chg,%,Chg,Vol,('00),Buy,Vol,('00)
901,2019-10-13_21-58-08,901,7374,TIENWAH,s,1.230,1.300,-0.070,-5.38,44,717,1.230,1.350,50,1.230,1.230
902,2019-10-13_21-58-08,902,7079,TIGER[S],s,0.050,0.055,-0.005,-9.09,10956,87990,0.050,0.055,134928,0.055,0.050
903,2019-10-13_21-58-08,903,7079WC,TIGER-WC[S],s,-,0.015,-,-,-,19420,0.010,0.015,1000,-,-
904,2019-10-13_21-58-08,904,5031,TIMECOM[S],s,9.020,9.000,0.020,+0.22,103,14,9.020,9.050,44,9.050,9.000
905,2019-10-13_21-58-08,905,7854,TIMWELL[S],s,-,0.570,-,-,-,50,0.470,0.570,82,-,-
906,2019-10-13_21-58-08,906,5239,TITIJYA[S],s,0.295,0.290,0.005,+1.72,13,8248,0.290,0.295,7753,0.295,0.295
907,2019-10-13_21-58-08,907,5239PA,TITIJYA-PA[S],s,-,0.030,-,-,-,75901,0.025,0.030,8936,-,-
908,2019-10-13_21-58-08,908,4863,TM[S],s,3.570,3.390,0.180,+5.31,61129,3760,3.570,3.600,30,3.720,3.390
909,2019-10-13_21-58-08,909,0101,TMCLIFE,s,0.640,0.635,0.005,+0.79,465,250,0.635,0.640,37,0.640,0.635
910,2019-10-13_21-58-08,910,8397,TNLOGIS,s,0.495,0.485,0.010,+2.06,4307,953,0.480,0.495,279,0.495,0.480
911,2019-10-13_21-58-08,911,7218,TOCEAN[S],s,-,0.500,-,-,-,60,0.500,0.800,1,-,-
912,2019-10-13_21-58-08,912,7230,TOMEI,s,-,0.440,-,-,-,100,0.435,0.450,200,-,-
913,2019-10-13_21-58-08,913,7285,TOMYPAK[S],s,0.510,0.510,-,-,627,860,0.505,0.510,323,0.510,0.510
914,2019-10-13_21-58-08,914,7285WA,TOMYPAK-WA[S],s,0.100,0.115,-0.015,-13.04,540,300,0.090,0.100,200,0.100,0.090
915,2019-10-13_21-58-08,915,5010,TONGHER[S],s,2.500,2.510,-0.010,-0.40,891,456,2.500,2.550,24,2.550,2.500
916,2019-10-13_21-58-08,916,7113,TOPGLOV[S],s,4.290,4.310,-0.020,-0.46,33972,152,4.290,4.300,244,4.310,4.270
917,2019-10-13_21-58-08,917,7173,TOYOINK[S],s,0.640,0.665,-0.025,-3.76,333,45,0.640,0.655,50,0.650,0.620
918,2019-10-13_21-58-08,918,7173WB,TOYOINK-WB[S],s,0.090,0.090,-,-,84,5700,0.085,0.095,340,0.090,0.090
919,2019-10-13_21-58-08,919,7176,TPC[S],s,-,0.310,-,-,-,100,0.305,0.320,200,-,-
920,2019-10-13_21-58-08,920,7176WA,TPC-WA[S],s,0.120,0.110,0.010,+9.09,500,400,0.100,0.120,200,0.120,0.120
921,2019-10-13_21-58-08,921,5054,TRC[S],s,0.500,0.500,-,-,1438,216,0.500,0.505,200,0.505,0.500
922,2019-10-13_21-58-08,922,0118,TRIVE[S],s,0.015,0.015,-,-,5834,1039221,0.010,0.015,109306,0.015,0.010
923,2019-10-13_21-58-08,923,0118WB,TRIVE-WB[S],s,-,0.005,-,-,-,-,-,0.005,160344,-,-
924,2019-10-13_21-58-08,924,5401,TROP[S],s,0.830,0.810,0.020,+2.47,5171,1,0.825,0.830,227,0.835,0.805
925,2019-10-13_21-58-08,925,5401WA,TROP-WA[S],s,-,0.005,-,-,-,-,-,0.005,51617,-,-
926,2019-10-13_21-58-08,926,9059,TSH[S],s,0.920,0.900,0.020,+2.22,523,100,0.900,0.920,1524,0.920,0.895
927,2019-10-13_21-58-08,927,5042,TSRCAP[S],s,-,0.370,-,-,-,23,0.360,0.400,27,-,-
928,2019-10-13_21-58-08,928,5042WB,TSRCAP-WB[S],s,-,0.020,-,-,-,500,0.015,0.040,200,-,-
929,2019-10-13_21-58-08,929,5230,TUNEPRO,s,0.550,0.540,0.010,+1.85,28531,720,0.550,0.560,1240,0.560,0.540
